groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00539305.txt,..\..\Submissions\gt4hist\00539305.txt,940,961,0.7595744681,gt4hist\00539305.txt,gt4hist,00539305.txt,0
..\..\groundtruth\00539306.txt,..\..\Submissions\gt4hist\00539306.txt,938,956,0.7985074627,gt4hist\00539306.txt,gt4hist,00539306.txt,0
..\..\groundtruth\00539307.txt,..\..\Submissions\gt4hist\00539307.txt,1223,1239,0.8446443173,gt4hist\00539307.txt,gt4hist,00539307.txt,0
..\..\groundtruth\00539308.txt,..\..\Submissions\gt4hist\00539308.txt,1221,1257,0.8312858313,gt4hist\00539308.txt,gt4hist,00539308.txt,0
..\..\groundtruth\00539309.txt,..\..\Submissions\gt4hist\00539309.txt,1229,1262,0.8331977217,gt4hist\00539309.txt,gt4hist,00539309.txt,0
..\..\groundtruth\00539310.txt,..\..\Submissions\gt4hist\00539310.txt,301,307,0.8438538206,gt4hist\00539310.txt,gt4hist,00539310.txt,0
..\..\groundtruth\00539311.txt,..\..\Submissions\gt4hist\00539311.txt,763,802,0.875491481,gt4hist\00539311.txt,gt4hist,00539311.txt,0
..\..\groundtruth\00539312.txt,..\..\Submissions\gt4hist\00539312.txt,1518,1545,0.872859025,gt4hist\00539312.txt,gt4hist,00539312.txt,0
..\..\groundtruth\00539313.txt,..\..\Submissions\gt4hist\00539313.txt,1585,1622,0.9255520505,gt4hist\00539313.txt,gt4hist,00539313.txt,0
..\..\groundtruth\00539314.txt,..\..\Submissions\gt4hist\00539314.txt,1556,1596,0.9158097686,gt4hist\00539314.txt,gt4hist,00539314.txt,0
..\..\groundtruth\00539315.txt,..\..\Submissions\gt4hist\00539315.txt,1612,1651,0.9125310174,gt4hist\00539315.txt,gt4hist,00539315.txt,0
..\..\groundtruth\00539316.txt,..\..\Submissions\gt4hist\00539316.txt,1620,1667,0.9148148148,gt4hist\00539316.txt,gt4hist,00539316.txt,0
..\..\groundtruth\00539317.txt,..\..\Submissions\gt4hist\00539317.txt,1592,1637,0.9133165829,gt4hist\00539317.txt,gt4hist,00539317.txt,0
..\..\groundtruth\00539318.txt,..\..\Submissions\gt4hist\00539318.txt,1594,1655,0.9297365119,gt4hist\00539318.txt,gt4hist,00539318.txt,0
..\..\groundtruth\00539319.txt,..\..\Submissions\gt4hist\00539319.txt,1590,1640,0.9119496855,gt4hist\00539319.txt,gt4hist,00539319.txt,0
..\..\groundtruth\00539320.txt,..\..\Submissions\gt4hist\00539320.txt,1339,1398,0.8954443615,gt4hist\00539320.txt,gt4hist,00539320.txt,0
..\..\groundtruth\00539321.txt,..\..\Submissions\gt4hist\00539321.txt,1589,1612,0.918816866,gt4hist\00539321.txt,gt4hist,00539321.txt,0
..\..\groundtruth\00539322.txt,..\..\Submissions\gt4hist\00539322.txt,1576,1638,0.8769035533,gt4hist\00539322.txt,gt4hist,00539322.txt,0
..\..\groundtruth\00539323.txt,..\..\Submissions\gt4hist\00539323.txt,1512,1555,0.9007936508,gt4hist\00539323.txt,gt4hist,00539323.txt,0
..\..\groundtruth\00539324.txt,..\..\Submissions\gt4hist\00539324.txt,1560,1628,0.8967948718,gt4hist\00539324.txt,gt4hist,00539324.txt,0
..\..\groundtruth\00539325.txt,..\..\Submissions\gt4hist\00539325.txt,1606,1653,0.8318804483,gt4hist\00539325.txt,gt4hist,00539325.txt,0
..\..\groundtruth\00539326.txt,..\..\Submissions\gt4hist\00539326.txt,1618,1676,0.9042027194,gt4hist\00539326.txt,gt4hist,00539326.txt,0
..\..\groundtruth\00539327.txt,..\..\Submissions\gt4hist\00539327.txt,1573,1610,0.9389701208,gt4hist\00539327.txt,gt4hist,00539327.txt,0
..\..\groundtruth\00539328.txt,..\..\Submissions\gt4hist\00539328.txt,1605,1662,0.9295950156,gt4hist\00539328.txt,gt4hist,00539328.txt,0
