groundTruth,result,wordsInGroundTruth,wordsInResult,wordAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00046945.txt,..\..\Submissions\gt4hist\00046945.txt,186,184,0.7258064516,gt4hist\00046945.txt,gt4hist,00046945.txt,0
..\..\groundtruth\00046946.txt,..\..\Submissions\gt4hist\00046946.txt,167,164,0.6766467066,gt4hist\00046946.txt,gt4hist,00046946.txt,0
..\..\groundtruth\00046947.txt,..\..\Submissions\gt4hist\00046947.txt,132,128,0.2424242424,gt4hist\00046947.txt,gt4hist,00046947.txt,0
..\..\groundtruth\00046948.txt,..\..\Submissions\gt4hist\00046948.txt,174,166,0.6666666667,gt4hist\00046948.txt,gt4hist,00046948.txt,0
..\..\groundtruth\00046949.txt,..\..\Submissions\gt4hist\00046949.txt,185,186,0.6648648649,gt4hist\00046949.txt,gt4hist,00046949.txt,0
..\..\groundtruth\00046950.txt,..\..\Submissions\gt4hist\00046950.txt,190,187,0.6526315789,gt4hist\00046950.txt,gt4hist,00046950.txt,0
..\..\groundtruth\00046951.txt,..\..\Submissions\gt4hist\00046951.txt,181,167,0.5359116022,gt4hist\00046951.txt,gt4hist,00046951.txt,0
..\..\groundtruth\00046952.txt,..\..\Submissions\gt4hist\00046952.txt,146,142,0.3356164384,gt4hist\00046952.txt,gt4hist,00046952.txt,0
..\..\groundtruth\00046953.txt,..\..\Submissions\gt4hist\00046953.txt,155,147,0.6451612903,gt4hist\00046953.txt,gt4hist,00046953.txt,0
..\..\groundtruth\00046954.txt,..\..\Submissions\gt4hist\00046954.txt,178,176,0.6179775281,gt4hist\00046954.txt,gt4hist,00046954.txt,0
..\..\groundtruth\00046955.txt,..\..\Submissions\gt4hist\00046955.txt,178,176,0.6629213483,gt4hist\00046955.txt,gt4hist,00046955.txt,0
..\..\groundtruth\00046956.txt,..\..\Submissions\gt4hist\00046956.txt,153,150,0.2810457516,gt4hist\00046956.txt,gt4hist,00046956.txt,0
..\..\groundtruth\00046957.txt,..\..\Submissions\gt4hist\00046957.txt,176,174,0.625,gt4hist\00046957.txt,gt4hist,00046957.txt,0
..\..\groundtruth\00046958.txt,..\..\Submissions\gt4hist\00046958.txt,154,159,0.6558441558,gt4hist\00046958.txt,gt4hist,00046958.txt,0
..\..\groundtruth\00046959.txt,..\..\Submissions\gt4hist\00046959.txt,171,171,0.5380116959,gt4hist\00046959.txt,gt4hist,00046959.txt,0
..\..\groundtruth\00046960.txt,..\..\Submissions\gt4hist\00046960.txt,153,151,0.6274509804,gt4hist\00046960.txt,gt4hist,00046960.txt,0
..\..\groundtruth\00046961.txt,..\..\Submissions\gt4hist\00046961.txt,176,174,0.7386363636,gt4hist\00046961.txt,gt4hist,00046961.txt,0
..\..\groundtruth\00046962.txt,..\..\Submissions\gt4hist\00046962.txt,165,162,0.6606060606,gt4hist\00046962.txt,gt4hist,00046962.txt,0
..\..\groundtruth\00046963.txt,..\..\Submissions\gt4hist\00046963.txt,177,174,0.7062146893,gt4hist\00046963.txt,gt4hist,00046963.txt,0
..\..\groundtruth\00046964.txt,..\..\Submissions\gt4hist\00046964.txt,164,163,0.7256097561,gt4hist\00046964.txt,gt4hist,00046964.txt,0
..\..\groundtruth\00046965.txt,..\..\Submissions\gt4hist\00046965.txt,172,168,0.5988372093,gt4hist\00046965.txt,gt4hist,00046965.txt,0
..\..\groundtruth\00046966.txt,..\..\Submissions\gt4hist\00046966.txt,167,169,0.5508982036,gt4hist\00046966.txt,gt4hist,00046966.txt,0
..\..\groundtruth\00046967.txt,..\..\Submissions\gt4hist\00046967.txt,157,152,0.6114649682,gt4hist\00046967.txt,gt4hist,00046967.txt,0
..\..\groundtruth\00046968.txt,..\..\Submissions\gt4hist\00046968.txt,157,157,0.6305732484,gt4hist\00046968.txt,gt4hist,00046968.txt,0
..\..\groundtruth\00046969.txt,..\..\Submissions\gt4hist\00046969.txt,162,161,0.6049382716,gt4hist\00046969.txt,gt4hist,00046969.txt,0
..\..\groundtruth\00046970.txt,..\..\Submissions\gt4hist\00046970.txt,151,151,0.6556291391,gt4hist\00046970.txt,gt4hist,00046970.txt,0
..\..\groundtruth\00046971.txt,..\..\Submissions\gt4hist\00046971.txt,176,175,0.6193181818,gt4hist\00046971.txt,gt4hist,00046971.txt,0
..\..\groundtruth\00046972.txt,..\..\Submissions\gt4hist\00046972.txt,183,178,0.693989071,gt4hist\00046972.txt,gt4hist,00046972.txt,0
..\..\groundtruth\00046973.txt,..\..\Submissions\gt4hist\00046973.txt,178,166,0.5505617978,gt4hist\00046973.txt,gt4hist,00046973.txt,0
