groundTruth,result,charsInGroundTruth,charsInResult,characterAccuracy,Method and file,Method,File,Decorations
..\..\groundtruth\00451941.txt,..\..\Submissions\gt4hist\00451941.txt,1512,1514,0.8716931217,gt4hist\00451941.txt,gt4hist,00451941.txt,0
..\..\groundtruth\00451942.txt,..\..\Submissions\gt4hist\00451942.txt,1473,1488,0.8682959946,gt4hist\00451942.txt,gt4hist,00451942.txt,0
..\..\groundtruth\00451943.txt,..\..\Submissions\gt4hist\00451943.txt,1451,1468,0.8421778084,gt4hist\00451943.txt,gt4hist,00451943.txt,0
..\..\groundtruth\00451944.txt,..\..\Submissions\gt4hist\00451944.txt,1481,1535,0.862255233,gt4hist\00451944.txt,gt4hist,00451944.txt,0
..\..\groundtruth\00451945.txt,..\..\Submissions\gt4hist\00451945.txt,1490,1518,0.8765100671,gt4hist\00451945.txt,gt4hist,00451945.txt,0
..\..\groundtruth\00451946.txt,..\..\Submissions\gt4hist\00451946.txt,1450,1479,0.8317241379,gt4hist\00451946.txt,gt4hist,00451946.txt,0
..\..\groundtruth\00451947.txt,..\..\Submissions\gt4hist\00451947.txt,1281,1292,0.8711943794,gt4hist\00451947.txt,gt4hist,00451947.txt,0
..\..\groundtruth\00451948.txt,..\..\Submissions\gt4hist\00451948.txt,1204,1229,0.7026578073,gt4hist\00451948.txt,gt4hist,00451948.txt,0
..\..\groundtruth\00451949.txt,..\..\Submissions\gt4hist\00451949.txt,1488,1498,0.7936827957,gt4hist\00451949.txt,gt4hist,00451949.txt,0
..\..\groundtruth\00451950.txt,..\..\Submissions\gt4hist\00451950.txt,1446,1487,0.8561549101,gt4hist\00451950.txt,gt4hist,00451950.txt,0
..\..\groundtruth\00451951.txt,..\..\Submissions\gt4hist\00451951.txt,1550,1588,0.464516129,gt4hist\00451951.txt,gt4hist,00451951.txt,0
..\..\groundtruth\00451952.txt,..\..\Submissions\gt4hist\00451952.txt,1501,1535,0.8874083944,gt4hist\00451952.txt,gt4hist,00451952.txt,0
..\..\groundtruth\00451953.txt,..\..\Submissions\gt4hist\00451953.txt,1444,1467,0.8885041551,gt4hist\00451953.txt,gt4hist,00451953.txt,0
..\..\groundtruth\00451954.txt,..\..\Submissions\gt4hist\00451954.txt,1409,1454,0.8850248403,gt4hist\00451954.txt,gt4hist,00451954.txt,0
..\..\groundtruth\00451955.txt,..\..\Submissions\gt4hist\00451955.txt,1474,1505,0.8772048847,gt4hist\00451955.txt,gt4hist,00451955.txt,0
..\..\groundtruth\00451956.txt,..\..\Submissions\gt4hist\00451956.txt,1513,1530,0.8631857237,gt4hist\00451956.txt,gt4hist,00451956.txt,0
..\..\groundtruth\00451957.txt,..\..\Submissions\gt4hist\00451957.txt,1433,1468,0.876482903,gt4hist\00451957.txt,gt4hist,00451957.txt,0
..\..\groundtruth\00451958.txt,..\..\Submissions\gt4hist\00451958.txt,1444,1486,0.8815789474,gt4hist\00451958.txt,gt4hist,00451958.txt,0
..\..\groundtruth\00451959.txt,..\..\Submissions\gt4hist\00451959.txt,1466,1511,0.8697135061,gt4hist\00451959.txt,gt4hist,00451959.txt,0
..\..\groundtruth\00451960.txt,..\..\Submissions\gt4hist\00451960.txt,1475,1508,0.8894915254,gt4hist\00451960.txt,gt4hist,00451960.txt,0
..\..\groundtruth\00451961.txt,..\..\Submissions\gt4hist\00451961.txt,1169,1185,0.8656971771,gt4hist\00451961.txt,gt4hist,00451961.txt,0
..\..\groundtruth\00451962.txt,..\..\Submissions\gt4hist\00451962.txt,1453,1487,0.8706125258,gt4hist\00451962.txt,gt4hist,00451962.txt,0
..\..\groundtruth\00451963.txt,..\..\Submissions\gt4hist\00451963.txt,1463,1481,0.8851674641,gt4hist\00451963.txt,gt4hist,00451963.txt,0
..\..\groundtruth\00451964.txt,..\..\Submissions\gt4hist\00451964.txt,1456,1490,0.8756868132,gt4hist\00451964.txt,gt4hist,00451964.txt,0
..\..\groundtruth\00451965.txt,..\..\Submissions\gt4hist\00451965.txt,1458,1485,0.8552812071,gt4hist\00451965.txt,gt4hist,00451965.txt,0
..\..\groundtruth\00451966.txt,..\..\Submissions\gt4hist\00451966.txt,1516,1539,0.9003957784,gt4hist\00451966.txt,gt4hist,00451966.txt,0
..\..\groundtruth\00451967.txt,..\..\Submissions\gt4hist\00451967.txt,1491,1513,0.8779342723,gt4hist\00451967.txt,gt4hist,00451967.txt,0
